StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q30,Q1,Q2,Q2_3_TEXT,Q3,Q3_6_TEXT,Q4,Q4_6_TEXT,Q6_NPS_GROUP,Q6,Q5,Q7,Q8_NPS_GROUP,Q8,Q10_First Click,Q10_Last Click,Q10_Page Submit,Q10_Click Count,Quiz1,Quiz2,Quiz3,Quiz4,Quiz5,Quiz6,Quiz7,Outcome_1,Outcome_2,SC0,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Before you start, we request that you please switch off phone/ e-mail/ music so that you can focus on this study.
Thank you!
Please enter your Prolific ID here:",Please specify your year of birth,What gender do you identify as? - Selected Choice,What gender do you identify as? - Prefer to self-describe - Text,Please specify your ethnicity - Selected Choice,Please specify your ethnicity - Other (please specify) - Text,What is the highest degree or level of education you have completed? - Selected Choice,What is the highest degree or level of education you have completed? - Other (please specify) - Text,How would you rate your health in general? - Group,How would you rate your health in general?,Do you currently have health insurance?,How often do you get a health checkup?,Would you agree that it is important for everyone to get an influenza (flu) vaccine each year? - Group,Would you agree that it is important for everyone to get an influenza (flu) vaccine each year?,How Does Flu Make You Sick? - First Click,How Does Flu Make You Sick? - Last Click,How Does Flu Make You Sick? - Page Submit,How Does Flu Make You Sick? - Click Count,Influenza is caused by,How does the flu spread?,What chance does a healthy person have of getting the flu during an average year?,How long are you contagious once you have the flu?,You can get the flu from a flu shot.,What is the best time of year for a person to be vaccinated against influenza?,How many hospitalizations were caused by the flu in 2018-2019?,"How would you like us to allocate a $1 donation to the following non-profits on your behalf?


	The National Foundation for Infectious Diseases, an organization dedicated to educating the public and healthcare professionals about the burden, causes, prevention, diagnosis, and treatment of infectious diseases.
	NAMI, or National Alliance on Mental Health, an organization dedicated to improving the quality of life for people with mental illness and their families through support, education, and advocacy. - National Foundation for Infectious Diseases","How would you like us to allocate a $1 donation to the following non-profits on your behalf?


	The National Foundation for Infectious Diseases, an organization dedicated to educating the public and healthcare professionals about the burden, causes, prevention, diagnosis, and treatment of infectious diseases.
	NAMI, or National Alliance on Mental Health, an organization dedicated to improving the quality of life for people with mental illness and their families through support, education, and advocacy. - National Alliance on Mental Health",Score,PROLIFIC_PID
"{""""ImportId"""":""""startDate"""",""""timeZone"""":""""America/Denver""""}","{""""ImportId"""":""""endDate"""",""""timeZone"""":""""America/Denver""""}","{""""ImportId"""":""""status""""}","{""""ImportId"""":""""ipAddress""""}","{""""ImportId"""":""""progress""""}","{""""ImportId"""":""""duration""""}","{""""ImportId"""":""""finished""""}","{""""ImportId"""":""""recordedDate"""",""""timeZone"""":""""America/Denver""""}","{""""ImportId"""":""""_recordId""""}","{""""ImportId"""":""""recipientLastName""""}","{""""ImportId"""":""""recipientFirstName""""}","{""""ImportId"""":""""recipientEmail""""}","{""""ImportId"""":""""externalDataReference""""}","{""""ImportId"""":""""locationLatitude""""}","{""""ImportId"""":""""locationLongitude""""}","{""""ImportId"""":""""distributionChannel""""}","{""""ImportId"""":""""userLanguage""""}","{""""ImportId"""":""""QID34_TEXT""""}","{""""ImportId"""":""""QID1_TEXT""""}","{""""ImportId"""":""""QID3""""}","{""""ImportId"""":""""QID3_3_TEXT""""}","{""""ImportId"""":""""QID4""""}","{""""ImportId"""":""""QID4_6_TEXT""""}","{""""ImportId"""":""""QID5""""}","{""""ImportId"""":""""QID5_6_TEXT""""}","{""""ImportId"""":""""QID6_NPS_GROUP""""}","{""""ImportId"""":""""QID6""""}","{""""ImportId"""":""""QID25""""}","{""""ImportId"""":""""QID7""""}","{""""ImportId"""":""""QID8_NPS_GROUP""""}","{""""ImportId"""":""""QID8""""}","{""""ImportId"""":""""QID13_FIRST_CLICK""""}","{""""ImportId"""":""""QID13_LAST_CLICK""""}","{""""ImportId"""":""""QID13_PAGE_SUBMIT""""}","{""""ImportId"""":""""QID13_CLICK_COUNT""""}","{""""ImportId"""":""""QID17""""}","{""""ImportId"""":""""QID14""""}","{""""ImportId"""":""""QID18""""}","{""""ImportId"""":""""QID15""""}","{""""ImportId"""":""""QID12""""}","{""""ImportId"""":""""QID20""""}","{""""ImportId"""":""""QID22""""}","{""""ImportId"""":""""QID11_1""""}","{""""ImportId"""":""""QID11_2""""}","{""""ImportId"""":""""SC_eQhUDdCqmmcx6dL""""}","{""""ImportId"""":""""PROLIFIC_PID""""}"
2020-03-17 12:51:40,2020-03-17 12:52:41,IP Address,69.117.100.151,100,61,True,2020-03-17 12:52:42,R_sySQQf3NaVXXutX,"","","","",40.90679931640625,-74.36150360107421875,anonymous,EN,5e6c6e7aff04d6235dc6e5af,20000,Male,"",White,"",High School degree or equivalent,"",Passive,8,Yes,Once a year,Promoter,10,"","","","","","","","","","","",0.6,0.4,0,5e6c6e7aff04d6235dc6e5af
2020-03-17 12:52:15,2020-03-17 12:53:51,IP Address,71.207.8.192,100,96,True,2020-03-17 12:53:52,R_1Qux0FedVRBO5Yi,"","","","",40.810302734375,-77.88800048828125,anonymous,EN,5cedd9f0d718b200018e141c,1998,Male,"",White,"",High School degree or equivalent,"",Passive,7,No,Once a year,Detractor,6,"","","","",A virus,Through the air or by touching an infected surface,Between 40 and 50 percent,1 day before symptoms start and up to 1 week after becoming sick,False,"In autumn, just before the peak flu season","500,000",0.5,0.5,6,5cedd9f0d718b200018e141c
2020-03-17 12:52:40,2020-03-17 12:53:59,IP Address,73.238.54.138,100,78,True,2020-03-17 12:53:59,R_1dz3yYUSERGwrbt,"","","","",42.4279937744140625,-71.061798095703125,anonymous,EN,5cfc10cc45e1a20018883d12,2000,Female,"",White,"",High School degree or equivalent,"",Detractor,6,Yes,Once a year,Detractor,6,"","","","",A virus,Through the air or by touching an infected surface,Between 10 and 20 percent,1 day before symptoms start and up to 1 week after becoming sick,True,"In autumn, just before the peak flu season","30,000",0.5,0.5,5,5cfc10cc45e1a20018883d12
2020-03-17 12:53:13,2020-03-17 12:54:12,IP Address,73.192.69.34,100,59,True,2020-03-17 12:54:12,R_1LHhb2hv7zXee7o,"","","","",30.28509521484375,-81.8217010498046875,anonymous,EN,5d545de8c15b07001a8cfeaf,1994,Female,"",Asian,"",Bachelor’s degree,"",Passive,8,Yes,Once a year,Promoter,10,"","","","","","","","","","","",0.1,0.9,0,5d545de8c15b07001a8cfeaf
2020-03-17 12:52:00,2020-03-17 12:54:21,IP Address,74.129.253.1,100,140,True,2020-03-17 12:54:21,R_2ci7brepdROkacf,"","","","",38.216796875,-85.7615966796875,anonymous,EN,5e46aa20caec81000b7d4f93,1976,Male,"",White,"",High School degree or equivalent,"",Passive,8,Yes,Once in 6 months,Passive,7,2.315,2.315,73.873,1,"","","","","","","",0.6,0.4,0,5e46aa20caec81000b7d4f93
2020-03-17 12:53:50,2020-03-17 12:54:37,IP Address,74.104.159.10,100,47,True,2020-03-17 12:54:37,R_7R1LD9xZQDObweB,"","","","",42.418792724609375,-71.15570068359375,anonymous,EN,5c4c996a3b58fc0001278fbb,1987,Male,"",White,"",Bachelor’s degree,"",Promoter,9,Yes,Once a year,Promoter,10,"","","","","","","","","","","",1,0,0,5c4c996a3b58fc0001278fbb
2020-03-17 12:53:38,2020-03-17 12:54:45,IP Address,73.63.58.116,100,67,True,2020-03-17 12:54:45,R_3rYy9Fy34bDlZgZ,"","","","",40.7406005859375,-111.822998046875,anonymous,EN,5df44fdf361a8531f7953af5,1976,Female,"",White,"",Bachelor’s degree,"",Promoter,9,Yes,Only when necessary,Passive,7,"","","","","","","","","","","",0.5,0.5,0,5df44fdf361a8531f7953af5
2020-03-17 12:53:17,2020-03-17 12:55:06,IP Address,107.136.198.137,100,108,True,2020-03-17 12:55:06,R_3I4gyme69nTD1E8,"","","","",33.78729248046875,-117.923095703125,anonymous,EN,56f1b5a499423f000c9e06a8,1988,Female,"",White,"",Master’s degree,"",Detractor,6,Yes,Once a year,Detractor,6,"","","","","","","","","","","",0.3,0.7,0,56f1b5a499423f000c9e06a8
